Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=0ab807ae683b66f8,"Agency Development Manager, Google Customer Solutions (Engli...",서울,,"Manager, you'll focus on growing long- term relationships with managed traditional... data-driven long- term agency plans..."
https://kr.indeed.com/viewjob?jk=bf6a63af590f02f4,Sales Associate,경기도 수원+1 지역,,"maintain a long term relationship... skills and ability to maintain long- term with clients and community, understand..."
https://kr.indeed.com/viewjob?jk=c1f2ecc575a8e4f4,Floor Manager,경기도,,"support with planning of turnover and hours short-and long- term, to secure an efficient workflow •Act as a customer service..."
https://kr.indeed.com/viewjob?jk=715a543414714d53,"GWS, Receptionist (사원~대리급)",서울,,client premises in Yeoido Contract Type: Regular (open term) JOB SUMMARY Provides administrative support to a department...
https://kr.indeed.com/viewjob?jk=3b3500d638804853,Beverage Manager,서울,,"understands the environment and coaches others to improve long- term outcomes Has good business acumen, a strong work ethic..."
https://kr.indeed.com/viewjob?jk=3e3844a591e7557c,Sourcing Recruiter,서울,,"pay only for what they use... up-front expenses or long- term commitments, making AWS the most cost-effective, flexible..."
https://kr.indeed.com/viewjob?jk=e3e0df7ceef90def,[존슨앤드존슨] HealthCare Compliance Manager,서울,,Compliance Manager - 근무지: 서울시 용산구 - 근무형태: 계약직 (Fixed- term) [Summary... role will support the day to day implementation...
https://kr.indeed.com/viewjob?jk=28424fee09a90c2d,Account Mgr,대한민국,,"responsible for sales results. • Establishes strong, long- term customer relationships and cultivates new business..."
https://kr.indeed.com/viewjob?jk=d1c8f23ea443cb4c,International Business Developer,서울,,"authority, negotiation skills. -Long- Term Strategic Thinking: Capable of explaining... have a long- term bonding with our..."
https://kr.indeed.com/viewjob?jk=30e17a7d8ce9d4d4,Software Engineer,서울,,UJET developer community Contribute... vision and long- term strategy in your domain of expertise Find ways to spread...
https://kr.indeed.com/viewjob?jk=bc9253b443201ff9,"Manager Technical Services Yangsan, South Korea Operations",대한민국,,"plan on a medium- term basis, to ensure... Drive and establish the short- and long- term manufacturing assumption and define..."
https://kr.indeed.com/viewjob?jk=cf1f60fafb85966b,Management Controller,대구,,gaps and variations with Budget 3. Participation... Middle Term Plan and Budget... entity 4. Support the Regional...
https://kr.indeed.com/viewjob?jk=4b586124dcfb1240,"Programs Director Family and Morale Welfare and Recreation,...",대한민국,,type programs. Experience with development and execution of Long- term (5 year) Strategic Planning pertaining... operation...
https://kr.indeed.com/viewjob?jk=7ad105b2d284855b,Training Partner Manager,서울,,"Experience developing an indirect sales channel with long- term strategic relationships, and delivering sell-through revenue..."
https://kr.indeed.com/viewjob?jk=241b2fe27ef92f8f,Field Support Specialist 1,서울,,"Provide long or short term site coverage... travel at short notice - short and long term, within region, potentially globally..."
https://kr.indeed.com/viewjob?jk=c93220a010f0f25d,Systems / Network Administrator - OCONUS,대한민국,,Start: TS/SCI with Polygraph Employee Type: Regular-Long Term Assignment Percentage of Travel Required: Up to 10% Type...
https://kr.indeed.com/viewjob?jk=76aca9d890987d3a,"Public Sector Account Executive, Healthcare/Research",서울,,prospects in order to build long- term business opportunity. You’ll also work... Develop long- term strategic partnerships...
https://kr.indeed.com/viewjob?jk=f142603368812e9a,DISW - Portfolio Development Executive,서울,,"Provide leadership to PreSales Business Development on long term strategic value proposition and industry positioning, ECO..."
https://kr.indeed.com/viewjob?jk=c973782c2738e058,"Principal Investment, Real Estate Investment, VP, Korea",서울,,decisions Assist senior members... team... preparation of term sheets and reviewing transaction documentation Project...
https://kr.indeed.com/viewjob?jk=6ebd41f7c269b5bb,A&T Office - Occupier Intern,서울,,"materials necessary for transactions - Prepares offers, term sheets and lease amendments... responsible for project..."
https://kr.indeed.com/viewjob?jk=b87e98432a95d128,"Settlement Operations, Cash Equities",서울,,"principal investment. Job no: COG-962296 Work type: Fixed term Location: Seoul Category: Junior, Operations Group: Corporate..."
https://kr.indeed.com/viewjob?jk=7fb69385a101cc05,HR Specialist,서울,,Forecast(RF)) W/H tax support We are proud to have a long- term bonding with our employees: More than 30% of our employees...
https://kr.indeed.com/viewjob?jk=9054ea6641797ebe,Head of CE&I,서울,,insights. Responsibilities Responsible for corporate long- term strategy plan set up and manage/ monitor portfolio...
https://kr.indeed.com/viewjob?jk=0049e64a61fecda5,IMC- PR Mgr,서울 강남구,,자격요건 담당직무 1.Draft and develop competitive short & long term digital strategy 2. Improve digital media spending effectiveness...
https://kr.indeed.com/viewjob?jk=40b571613edb1995,45 Million Compensation Professional benefits and work envir...,서울 강남구,,career minded teachers looking for long- term job stability... career minded... pay scale for long term teachers. 21 days...
https://kr.indeed.com/viewjob?jk=dd97350a5dc78515,Trade Business Intelligence Manager,대한민국,,placing emphasis on long- term sustainable growth and employee well-being over short- term profits... aim... role...
https://kr.indeed.com/viewjob?jk=754b75426562a781,UI Designer (freelance),서울,,large-scale platforms to mobile apps. You like working on long- term projects and love to get dirty with clean and functional...
https://kr.indeed.com/viewjob?jk=6446eaf84a28cd78,[Chloe] Merchandiser,서울,,looking vision of femininity continues to inspire our long- term commitment to support the advancement of women. Women moving...
https://kr.indeed.com/viewjob?jk=d9f3809ca80b00f2,Customer Project Technical Senior Engineer,서울,,perform Engineering & Commissioning activity for short and long term deputation  To perform customer FAT  Good in english...
https://kr.indeed.com/viewjob?jk=e8ef1bcf035956a1,Firestop Engineer,서울,,customers. Local / country scope. We are proud to have a long- term bonding with our employees: More than 30% of our...
https://kr.indeed.com/viewjob?jk=91a7c89722c09990,Resident Service Support Specialist (RS3),서울,,process to enable analysis of operational trends and long term system performance for major VIS assets installed within...
https://kr.indeed.com/viewjob?jk=51b01ccc49d7488e,Theme Park Business Developer,경기도 용인,,"multi-national amusement/theme park companies Contract Term: 2yrs, but renewable. Compensation: Very competitive (Negotiable..."
https://kr.indeed.com/viewjob?jk=d96235802139686d,Financial Accountant,서울,,"capacity for change is critical to progress and long term success. Strong communication skills, including good in English..."
https://kr.indeed.com/viewjob?jk=825ba5ca1ee72e32,Korea - JD Sports Account Lead Manager,서울,,"implementation of seasonal, annual, and long- term plans by closely collaborating with partners... applying an..."
https://kr.indeed.com/viewjob?jk=cbb6d05da9037e80,Creative Producer,서울,,"stakeholders and multiple priorities, balancing short and long term needs and implications. * Strong verbal and written..."
https://kr.indeed.com/viewjob?jk=4bdec98863a23a36,Commercial Project Manager,서울,,implementation of Long- Term Operation... than 5 years working experience in long term project management including budgeting...
https://kr.indeed.com/viewjob?jk=2c7ab1fd4063c976,Regional Director Field Service – Asia Pacific Region,서울,,region • Extensive knowledge of drivers of short and long term service cost and experience in national and international...
https://kr.indeed.com/viewjob?jk=5688bfdd73e4a00e,Korea - Ops & Logistics Business System Analyst Lead (Icheon...,대한민국,,rapidly changing markets’ need for fulfillment and support long term business growth. Operations & Logistics Business System...
https://kr.indeed.com/viewjob?jk=260bcd2e03857dd1,Commercial Manager Travel Sellers Korea,서울,,"needs and drive Amadeus growth... market. - Define mid/long term ambition, strategic plan and associated KPIs across our..."
https://kr.indeed.com/viewjob?jk=10948eecefb3d8e8,Finance Manager,서울,,forecasting for annual operating plans as well as long- term forecasts. You will oversee monthly budget reviews by working...
https://kr.indeed.com/viewjob?jk=bb01900aa7b4ab34,Solutions Architect,서울,,managers within your larger organization when discussing mid- term customer strategy and architectural best practices · We...
https://kr.indeed.com/viewjob?jk=01d11117dd2c8132,Senior Category Manager – Hair Care,서울,,Contribute to Group... mid-to-long term brand development and future NPD... create mid-to-long term growth plans...
https://kr.indeed.com/viewjob?jk=b503a93f48475d62,TikTok Live Operations Leader,서울,,live streaming team for South Korea; - Making short term and long term strategy and plans for live streaming development...
https://kr.indeed.com/viewjob?jk=80f98e9a782c40b5,Analytics Specialist,서울,,"stakeholders and multiple priorities, balancing short and long term needs and implications. * Strong verbal and written..."
https://kr.indeed.com/viewjob?jk=2b52b2ee18f36571,Phonics Teacher (F-Visas Only),서울,,Housing allowance * Clearly structured pay scale for long term teachers. Start Date * Dec - How to apply: Please send...
https://kr.indeed.com/viewjob?jk=cb13f43a0e9b1d2d,Automotive Industry Manager,서울,,"content, and marketing plan, as well as help define the long- term technology roadmap. Through... efforts, you will shape..."
https://kr.indeed.com/viewjob?jk=1fe5d621f35822dd,Managing Director - Country Manager Korea,서울,,"projection. You... required to negotiate complex, long- term contracts... get Group buy... business context..."
https://kr.indeed.com/viewjob?jk=41533e649253e759,"Senior Manager, Global Key Accounts, Wholesale",서울,,Alliance Accounts (Footlocker & JD... short/mid/long term strategic plan to achieve “Win... Winners... develop...
https://kr.indeed.com/viewjob?jk=1a9c0a18e7fe14f6,Marketing Communication,서울,,Plan marketing events including budget and short and long- term strategy Create and maintain consistent corporate brand/image...
https://kr.indeed.com/viewjob?jk=dd80d6e1278eb43d,"Associate Director, Marketing Effectiveness",대한민국,,"providing cross market expertise. Over the medium term, the objective... internalize the skills and competences leveraged..."
https://kr.indeed.com/viewjob?jk=f89ee17456fc7153,"Asset Management, Assistant, Seoul",서울,,around the world... dedicated partnership and focus on long- term performance. As primary investment area within Goldman...
https://kr.indeed.com/viewjob?jk=3ec2e8173405e407,Solution Area Specialist,서울,,influence long- term strategic direction... Articulates business value and long- term implications for customer business...
https://kr.indeed.com/viewjob?jk=3a9f2ac38ab46737,Senior E-boutique Professional (Kakao),서울,,platform & identify new opportunities - building strong & long term partnerships with operators to get analytics and customer...
https://kr.indeed.com/viewjob?jk=d476564717f124b3,Account Sales,서울,,opportunity development Strategic planning short & long term business development You are best equipped... task if you...
https://kr.indeed.com/viewjob?jk=24a5fd77293f412a,Korea Stat & Tax Controller,서울,,workload perspective. Build trust to lay the foundation of long- term growth from a customer and shareholder point of view...
https://kr.indeed.com/viewjob?jk=64d3d94729a39a58,[Janssen] Financial Analyst,서울,,"Analyst 2. 계열사: 한국얀센 (Janssen) 3. 근무지: 서울시 용산구 4. 근무 형태: Fixed Term [Responsibilities] 1) Assist, enable and ensure that BU..."
https://kr.indeed.com/viewjob?jk=a9b90a7d08e03905,"Manager, Studio Strategy & Analysis",서울,,"making and timely execution Develop country-level long- term studio strategies, facilities, and resource plans and support..."
https://kr.indeed.com/viewjob?jk=7619e62977456182,Project Management Specialist,서울,,"two-year fixed- term employment contract with full benefits. Following successful completion... employment term, employees..."
https://kr.indeed.com/viewjob?jk=bcc6fd8422c3b005,"Manager, Marketing Strategy",서울,,"paid, digital, social, partnerships etc.) Evaluate short and long term performance of marketing activities Drive operational..."
https://kr.indeed.com/viewjob?jk=2496138ec2d92bfa,Assistant Training Manager,서울,,"mindset is core to our business and key to our long- term success. JOB PURPOSE Service excellence ambassador, responsible..."
https://kr.indeed.com/viewjob?jk=a825d432af879511,Consultant - Capital Productivity,서울,,continuous improvement effort or developing short and long- term capability-building plans for all relevant levels of client...
https://kr.indeed.com/viewjob?jk=0e0b2303bed65668,L.E.A.D in Maersk Korea,서울,,together with others. • Strong desire to pursue a long- term career in transport and logistics. • You... an excellent...
https://kr.indeed.com/viewjob?jk=6b03161b6193d830,Jr.Analyst,서울 강남구,,Long Range Plan to achieve company strategic goal in long term view · Frequent and continuous communication with business...
https://kr.indeed.com/viewjob?jk=2169450ebb8d1a48,KR_Communications Manager,대한민국,,"animals... family owned company, we focus on long- term performance. We believe... we have talented and ambitious..."
https://kr.indeed.com/viewjob?jk=353bae19e59dd396,"[Janssen] Communications and Public Affairs Head, North Asia",서울,,"Nth Asia market and demonstrate the company’s long- term commitment... Korea, Taiwan and HK markets, - Demonstrate..."
https://kr.indeed.com/viewjob?jk=4c155d9f4f0fb0d3,Selling Partner Support Associate,서울,,Position Description: Global Seller Support Associate (Fixed- term... Seller Support Associate acts... primary...
https://kr.indeed.com/viewjob?jk=b564819422c98392,E-commerce intern,서울 종로구,,"group – short and long term. Responsible... customer satisfaction, short and long- term. Daily optimization and evaluation..."
https://kr.indeed.com/viewjob?jk=438adba5847882f6,"Offcycle internship, Macquarie Capital Korea",서울,,"principal investment. Job no: MacCap-962251 Work type: Fixed term Location: Seoul Category: Junior, Corporate Finance / M..."
https://kr.indeed.com/viewjob?jk=bb53ebeb0191c9bc,"[Janssen] Associate Digital Medical Excellence Manager, Medi...",서울,,medical communication strategy and processes - Establish the long- term Roadmap of Medical digital transformation to scale up...
https://kr.indeed.com/viewjob?jk=8431ae82f2f68208,Renewable Energy Analyst,서울,,"Forecasting long- term resource using... data; Development of annual and long term solar energy assessments, using various..."
https://kr.indeed.com/viewjob?jk=5e3c43d2dceee68b,"Representative, Businesss Services",대한민국,,"statements and projections Working knowledge of short and long term budgeting and forecasting, rolling budgets, and product..."
https://kr.indeed.com/viewjob?jk=3f5b58345f2600f3,2021-2 Call for IBS Young Scientist Fellowship,대한민국,,"Fellows (YSFs) may be cancelled. During the Fellowship term, participating in other projects funded by sources outside IBS..."
https://kr.indeed.com/viewjob?jk=1be01e0237ee0ab5,Intern - Economic Affairs (171198),인천,,commission of any... acts. The term “sexual exploitation” means any actual... conditions. The term “sexual harassment...
https://kr.indeed.com/viewjob?jk=885cfd9765788def,Senior Sales Associate (신세계 광주),광주광역시,,mindset is core to our business and key to our long- term success. JOB PURPOSE To provide an inspirational shopping...
https://kr.indeed.com/viewjob?jk=9e6f35f3bd13e57b,KERING Legal Assistant (Fixed-Term),서울,,Assistant (1yr Fixed- Term) Division... background. Job Type Fixed Term (Fixed Term) Start Date 2021-12-15 Schedule...
https://kr.indeed.com/viewjob?jk=5ae63a96736e5b91,Intern (February - August 2022),서울,,"principal investment. Job no: INT-962078 Work type: Fixed term Location: Seoul Category: Junior, Asset Management, Graduate..."
https://kr.indeed.com/viewjob?jk=58f9128b82249c78,Paralegal 1,서울,,contract negotiations and drafting non-standard contractual term/language both in English and Korean. Support other members...
https://kr.indeed.com/viewjob?jk=00fbbe5760a7d330,E-commerce intern (6 months contract),서울 종로구,,"group – short and long term. Responsible... customer satisfaction, short and long- term. Daily optimization and evaluation..."
https://kr.indeed.com/viewjob?jk=63341f6216dfbc18,Associate Environmental Affairs Officer,인천,,commission of any... acts. The term “sexual exploitation” means any actual... conditions. The term “sexual harassment...
https://kr.indeed.com/viewjob?jk=e95c7a43409e805b,Customer Support (Chat) - Korean/English - Music Streaming,서울,,enjoyable online environment... an established and long- term project with an incredibly strong internal support system...
https://kr.indeed.com/viewjob?jk=5052fe732f277249,Employee Relations Manager,서울,,"partnering with Leadership team, responsible for establishing long- term & constructive union relations strategy, and ensure..."
https://kr.indeed.com/viewjob?jk=d42616e67c7cadae,"Payments Compliance Officer, Finance (English, Korean)",서울,,"risks... name Google came from ""googol,"" a mathematical term... number 1 followed by 100 zeros. And nobody at Google..."
https://kr.indeed.com/viewjob?jk=bc6160ceec3a49f7,Knowledge Analyst - Panorama Financial Institutions Insights...,서울,,within your area of expertise as well as provide short- term support for delivering key insights on content-focused questions...
https://kr.indeed.com/viewjob?jk=2c4859dcecf5d674,Business Development Manager - Gaming,서울,,"organizations and influencer groups, working to drive long- term adoption and set growth strategies for our partners. Ideal..."
https://kr.indeed.com/viewjob?jk=3f14dada6ac7fb0f,IT Digital Transformation & Mobility Manager,서울,,"Team Manager prepares and delivers input... strategic, long term IT plan in collaboration... line... strategic..."
https://kr.indeed.com/viewjob?jk=56b7b4d4f5ccb034,"Representative, Businesss Services - Finance",대한민국,,"statements and projections * Working knowledge of short and long term budgeting and forecasting, rolling budgets, and product..."
https://kr.indeed.com/viewjob?jk=3ece5c9fc6355693,"Trainer, Retail",서울,,"mindset is core to our business and key to our long- term success. JOB PURPOSE Service excellence ambassador, responsible..."
https://kr.indeed.com/viewjob?jk=537762d2c5b65f3b,Programme Officer,인천,,commission of any... acts. The term “sexual exploitation” means any actual... conditions. The term “sexual harassment...
https://kr.indeed.com/viewjob?jk=ca01112f2d124b7e,E-Boutique Professional,서울,,platform & identify new opportunities - building strong & long term partnerships with operators to get analytics and customer...
https://kr.indeed.com/viewjob?jk=a34e2184cddacfd7,Head of Digital (New position),서울 강남구,,"meeting our global objectives, • Define the midterm/long term vision and strategy for MSF’s fundraising, communication, HR..."
https://kr.indeed.com/viewjob?jk=a07c1ac31bb7090e,HR Assistant,서울,,experience of using HRIS systems; Understanding of payroll processes Category Human Resources Job Type Fixed Term Contract
https://kr.indeed.com/viewjob?jk=5e828fdb6857cf61,78762P-Sales Engineer,서울,,"foster long- term, trusted business relationships. Communicate key issues and advise customers on short-and long- term product..."
https://kr.indeed.com/viewjob?jk=35e4a1f3c6ad0b5c,Assistant Project Manager ( Fixed Term Contract ),경기도 성남,,Job Description Summary Job Description Responsibilities Own the Customer relationship to understand... perspective...
https://kr.indeed.com/viewjob?jk=164dc35dd8a3106e,"Engineering Program Manager (EPM),",서울,,environment. - Preference given to candidates that open to relocation or long term assignment to other Asian country.
https://kr.indeed.com/viewjob?jk=734d550a6e91a8ba,[촉탁직] 디지털 플랫폼별 세일즈 인력,성남 분당구,,1.채용기간 2022-01-10 - 충원 완료시 2.고용형태 Contractor (Fixed Term) 3.채용직무소개 무역·영업·판매·매장관리>영업관리·영업지원>영업관리|무역·영업·판매·매장관리>영업관리·영업지...
https://kr.indeed.com/viewjob?jk=d0986208b46d0291,"Project Engineer, Korea",서울,,matter experts Contribute... success of Bloom Energy’s long- term process improvement efforts Ensure exemplary safety...
https://kr.indeed.com/viewjob?jk=566c40621d7bb8db,Customer Service Continuous Improvement Automation Specialis...,서울,,whole organization depended... area’s strategy in term of collaboration under one Maersk. • Partner... CUS team...
https://kr.indeed.com/viewjob?jk=5468af620419da64,Alliances Consultant 4,대한민국,,"issues Detailed Description and Job Requirements Builds long term, strategic relationships with named and vertical business..."
https://kr.indeed.com/viewjob?jk=02f7728ea7f5727e,Talent Acquisition Manager,서울,,stakeholders and team members Ability to see short term and long term effects of possible actions Commercial and retail mind...
https://kr.indeed.com/viewjob?jk=5a2b9481ee219d79,Tech Architect,서울,,ability to manage through influence Ability to create long term relationships and deliver programs of major impact within...
https://kr.indeed.com/viewjob?jk=1fe5d621f35822dd,Managing Director - Country Manager Korea,서울,,"projection. You... required to negotiate complex, long- term contracts... get Group buy... business context..."
https://kr.indeed.com/viewjob?jk=b503a93f48475d62,TikTok Live Operations Leader,서울,,live streaming team for South Korea; - Making short term and long term strategy and plans for live streaming development...
https://kr.indeed.com/viewjob?jk=407426c19883579d,Sr. MSL (Rare disease),서울,,skills 5. Strong desire to drive business and establish long- term customer relationships and loyalty 6. Self-motivated...
https://kr.indeed.com/viewjob?jk=9bc3561c9fe47911,Senior Retail Manager,서울,,mindset is core to our business and key to our long- term success. JOB PURPOSE To maximise the retail revenue by driving...
https://kr.indeed.com/viewjob?jk=c93220a010f0f25d,Systems / Network Administrator - OCONUS,대한민국,,Start: TS/SCI with Polygraph Employee Type: Regular-Long Term Assignment Percentage of Travel Required: Up to 10% Type...
https://kr.indeed.com/viewjob?jk=2fbf78febb973d48,Strategic Partnerships Development Manager (Korean),서울,,always trying to exceed... expectations and strengthen our long- term partner relationships. We help grow Google's business...
https://kr.indeed.com/viewjob?jk=b437dbf9f57c9723,C.S.Representative I,서울,,"책임감과 성실성 전화를 통한 고객 응대, 상담 경력 필수 We are proud to have a long- term bonding with our employees: More than 30% of our employees..."
https://kr.indeed.com/viewjob?jk=19cb085ab3848dc8,Account Manager,부산광역시,,leads and close sales to achieve revenue goals and create long- term purchase agreements with key accounts. Generate sales...
https://kr.indeed.com/viewjob?jk=e745d37ace6b4470,Customer Success Analyst - Korea (6 Months Fixed-Term),서울 강남구,,6-Months Fixed- Term Customer Success... approach... focus on building long- term partnerships. Passions for continuous...
https://kr.indeed.com/viewjob?jk=40cbef1739f31b5c,Adhesive Intern for Technical Customer Service,서울,,"영어 회화 가능자 JOB ID: 21025850 Contract & Job type: Full Time, Limited Term Contact information for application-related questions..."
https://kr.indeed.com/viewjob?jk=61a8d3be7a1773dc,Engagement Partner,경기도,,customers Work... business stakeholders... long- term and trustworthy partnership... Veeva Services team...
https://kr.indeed.com/viewjob?jk=3a08b30ab659e141,Market Development Manager,서울,,"Optimistically focus on continual growth over a longer- term horizon • Bias for Action: Have a bias for action, prioritizing..."
https://kr.indeed.com/viewjob?jk=ae859dd1db4fc46c,General Manager Korea,경기도,,Responsible for customer management. Establish long term relationship with strategic accounts and relevant stakeholders...
https://kr.indeed.com/viewjob?jk=b87e98432a95d128,"Settlement Operations, Cash Equities",서울,,"principal investment. Job no: COG-962296 Work type: Fixed term Location: Seoul Category: Junior, Operations Group: Corporate..."
https://kr.indeed.com/viewjob?jk=b69703c163179d10,Bilingual (Korean-English) Non-Voice Customer Support,서울•원격 근무,"시급 8,400원 - 9,000원","full-time... long- term work from home job. If you are looking... stable and long- term job, submit your proposal..."
https://kr.indeed.com/viewjob?jk=e2ac5f3c7544bdc7,[JW중외제약] 대졸이상 신입/경력 수시채용,서울 서초동,,"신제품 후보물질 발굴 및 License-in 추진 - 신규물질 스크리닝, 제품검토 및 시장성 평가, 사업제안, Term sheet협의 2. 신약개발과제 License-out 관련 업무의 기획 및 추진 - 내부 개발현황 파악..."
https://kr.indeed.com/viewjob?jk=2bcc127fa59fa238,"Account Manager, Samsung - Amazon Web Services, Korea",서울,,Manage and support customer interactions · Develop long- term strategic relationships with key accounts. · Ensure customer...
https://kr.indeed.com/viewjob?jk=00fbbe5760a7d330,E-commerce intern (6 months contract),서울 종로구,,"group – short and long term. Responsible... customer satisfaction, short and long- term. Daily optimization and evaluation..."
https://kr.indeed.com/viewjob?jk=2741253de882f237,"Digital/PR Marketing 팀장(8-12년, 과차장급)-유명글로벌소비재",서울 강남구,,ž Develop digital marketing strategy for mid/longer term ž Develop category/brand digital marketing strategy in line...
https://kr.indeed.com/viewjob?jk=facdad17116f33cf,Senior EHS Specialist,서울,,so you can grow your career and expand your skills... long term. Cytiva is proud to work alongside a community of nine...
https://kr.indeed.com/viewjob?jk=4847e14ba0ab8c23,[Consumer Health] Brand Manager – Neutrogena,서울,,"Neutrogena cleansing to lead the brand... short- and long- term strategy, marketing campaign, and strategic sales planning..."
https://kr.indeed.com/viewjob?jk=23ef68a78c7d4e0d,Key Account Manager,대한민국,,encourages long term business growth... outcomes. * Monitor and manage trading term compliance. * Other responsibilities...
https://kr.indeed.com/viewjob?jk=9054ea6641797ebe,Head of CE&I,서울,,insights. Responsibilities Responsible for corporate long- term strategy plan set up and manage/ monitor portfolio...
https://kr.indeed.com/viewjob?jk=4ff874866ad60ddd,Customer Service Manager,서울,,daily directions and supervision Assist in negotiating Long Term Service Agreement (LTSA) contracts in Korean Work cross...
https://kr.indeed.com/viewjob?jk=a106e743addfaf7f,Cluster Lead - Finance & Operations,서울,,organization Long- term portfolio... business in meeting short to long- term goals by providing relevant financial...
